msoa,mode,time,area_m2,area_deg2
E02002491,CAR,15minutes,189230504.5683433,0.004579015000000021
E02002492,CAR,15minutes,185971429.82735988,0.004502395000000029
E02002493,CAR,15minutes,156941252.02328077,0.003800894999999963
E02002494,CAR,15minutes,149058889.43699273,0.003608875000000002
E02002496,CAR,15minutes,208169025.6860245,0.005066090000000027
E02002498,CAR,15minutes,278259460.85046846,0.006774924999999961
E02002499,CAR,15minutes,126008618.24798101,0.003066735000000054
E02002500,CAR,15minutes,142463579.75355962,0.0034682949999999624
E02002501,CAR,15minutes,191753282.0813356,0.004667944999999974
E02002502,CAR,15minutes,191908602.96776927,0.004672014999999962
E02002503,CAR,15minutes,249173633.8881865,0.006072954999999984
E02002504,CAR,15minutes,180415784.56469902,0.0043950249999999995
E02002505,CAR,15minutes,138656344.54907015,0.003376539999999992
E02002506,CAR,15minutes,126259426.87146415,0.0030752949999999506
E02002507,CAR,15minutes,235529802.3939518,0.005740380000000028
E02002508,CAR,15minutes,279026332.84353393,0.006803155000000137
E02002509,CAR,15minutes,249069992.614541,0.0060700149999998705
E02002510,CAR,15minutes,123994233.04392701,0.0030227300000001196
E02002512,CAR,15minutes,286294371.044401,0.006980395000000014
E02002513,CAR,15minutes,279799746.64366347,0.006829535000000177
E02002514,CAR,15minutes,238119690.06168684,0.005811334999999989
E02002515,CAR,15minutes,180437188.70232403,0.004383060000000004
E02002516,CAR,15minutes,178326968.7898522,0.004332200000000007
E02002517,CAR,15minutes,156776107.25818884,0.003808585000000074
E02002518,CAR,15minutes,166630132.92882058,0.004048640000000037
E02002519,CAR,15minutes,111580508.2025555,0.002710435000000025
E02002520,CAR,15minutes,296592376.4606366,0.007211780000000012
E02002521,CAR,15minutes,230255069.8169824,0.00559938500000005
E02002523,CAR,15minutes,169326059.46586183,0.004117925000000001
E02002524,CAR,15minutes,190331731.1206265,0.004629845000000104
E02002525,CAR,15minutes,336730932.2366584,0.008193934999999968
E02002526,CAR,15minutes,330878943.62492126,0.008051330000000079
E02002527,CAR,15minutes,222691503.8345967,0.005422004999999955
E02002529,CAR,15minutes,218471800.5247859,0.005322719999999993
E02002530,CAR,15minutes,188205002.2448554,0.004583979999999904
E02002532,CAR,15minutes,251962707.39339817,0.006136684999999902
E02002533,CAR,15minutes,167937104.31793135,0.004091854999999925
E02002534,CAR,15minutes,165139024.91808617,0.004023274999999965
E02002535,CAR,15minutes,272029884.45350176,0.0066004450000000615
E02002536,CAR,15minutes,222753594.65903443,0.00540889999999998
E02002537,CAR,15minutes,190020769.26247773,0.004614125000000044
